values lengths
0 2709797
1 29
2 71
1 29
0 24672
1 100
0 4831
1 100
0 1228
1 100
0 1310
1 100
0 6409
1 100
0 3103
1 100
0 33531
1 100
0 12841
1 100
0 5975
2 100
0 986
1 100
0 2203
1 100
0 3902
1 100
0 571
1 100
0 6810
1 100
0 15144
1 100
0 4559
1 100
0 4154
1 90
2 10
1 90
0 15189
1 100
0 5405
1 100
0 835
1 100
0 1121
1 100
0 11523
1 100
0 5582
1 100
0 8861
1 100
0 1769
1 100
0 19431
1 100
0 2529
1 100
0 8958
1 1
2 99
1 1
0 2774
1 1
2 99
1 1
0 23978
1 100
0 10368
1 100
0 2373
1 100
0 386
1 100
0 150700
1 100
0 26664
1 100
0 18932
1 100
0 892
1 100
0 17125
1 100
0 5761
1 100
0 38305
1 100
0 788
1 100
0 28896
1 100
0 52244
1 100
0 3227
1 100
0 23659
1 100
0 83737
1 100
0 694
1 100
0 66465
1 100
0 58973
1 100
0 5449
1 100
0 67773
2 100
0 13832
1 100
0 23372
1 100
0 16592
1 100
0 4929
1 100
0 32830
1 100
0 62304
2 75
3 25
1 75
0 3873
1 100
0 1194
1 100
0 219
1 33
2 3
3 64
2 33
1 3
0 190
1 100
0 798
1 86
2 14
1 86
0 915
1 100
0 88541
1 100
0 41945
1 100
0 8851
2 100
0 63411
1 100
0 28051
2 100
0 131925
1 100
0 118094
1 100
0 27442
1 100
0 28256
1 100
0 217
1 100
0 4386
1 100
0 22836
1 100
0 31297
1 100
0 14449
1 100
0 34230
1 100
0 50143
1 100
0 63199
1 100
0 43520
1 100
0 30632
1 100
0 50045
1 100
0 14165
1 100
0 209630
1 100
0 86368
1 100
0 18945
1 100
0 58475
1 100
0 12348
1 100
0 35187
1 100
0 8511
1 100
0 45150
1 100
0 102640
1 100
0 23245
1 100
0 77472
1 100
0 61668
1 100
0 13921
1 100
0 34568
1 100
0 17752
1 100
0 7170
1 100
0 28887
1 100
0 59206
1 100
0 40057
1 100
0 3220
1 100
0 2049
1 100
0 16774
1 100
0 1222
1 100
0 76861
1 100
0 108022
1 100
0 62133
1 100
0 20030
1 100
0 42584
1 100
0 3780
1 100
0 20635
1 100
0 4612
1 100
0 28338
1 100
0 54572
1 100
0 348
1 7
2 14
3 79
2 7
1 14
0 29366
1 100
0 42906
1 100
0 303193
1 100
0 17873
1 100
0 11631
1 100
0 60477
1 100
0 13903
1 100
0 41222
1 100
0 2274
1 100
0 90755
1 100
0 3544
1 100
0 6234
1 100
0 12871
1 100
0 6887
1 100
0 7879
1 100
0 9123
1 100
0 31672
1 100
0 10241
1 100
0 43127
1 100
0 17744
1 100
0 17464
1 100
0 702
1 100
0 3618
1 100
0 17415
1 100
0 20649
1 100
0 10273
1 100
0 31917
1 100
0 2105
1 100
0 16723
1 100
0 8460
1 100
0 9541
1 100
0 20648
1 100
0 8034
1 100
0 1855
1 100
0 532
1 100
0 8333
1 100
0 2373
1 100
0 23877
1 100
0 8858
1 100
0 8659
1 100
0 22482
1 100
0 7836
1 1
3 3
4 1
5 1
6 2
7 8
8 2
9 82
8 1
6 3
5 1
4 1
3 2
2 8
1 2
0 20529
1 100
0 5904
1 100
0 4371
1 100
0 22889
1 100
0 3855
1 100
0 15470
1 100
0 3305
1 100
0 1964
1 100
0 4516
1 100
0 4174
1 100
0 968
1 100
0 7163
3 100
0 8453
1 100
0 5155
1 100
0 3500
1 100
0 971
1 100
0 116
1 100
0 23563
1 100
0 2445
1 100
0 31408
1 100
0 14315
1 100
0 2809
1 100
0 2854
1 100
0 8414
2 5
6 95
4 5
0 4116
1 100
0 4933
1 100
0 9426
1 100
0 24831
1 100
0 2254
1 100
0 12354
1 9
2 91
1 9
0 44
1 6
2 94
1 6
0 6665
1 100
0 9301
1 100
0 4173
1 100
0 13654
1 100
0 4740
1 100
0 10694
1 100
0 29134
1 100
0 5616
1 100
0 31211
1 100
0 104118
1 100
0 16114
1 100
0 16327
1 100
0 18437
1 100
0 8372
1 100
0 5890
1 100
0 30120
1 100
0 18803
1 100
0 5532
1 100
0 12028
1 100
0 2798
1 100
0 7301
1 100
0 5215
1 100
0 332
1 100
0 2693
1 100
0 26990
1 100
0 23658
1 100
0 12247
1 100
0 10442
1 100
0 192
1 100
0 27285
1 100
0 15847
1 100
0 52169
1 100
0 1874
1 100
0 26938
1 100
0 4486
1 100
0 25395
1 1
2 99
1 1
0 1581
1 100
0 25470
1 100
0 3397
1 100
0 13495
1 100
0 3367
1 100
0 14115
1 100
0 19489
1 100
0 4414
1 100
0 11306
1 100
0 9564
1 100
0 1068
1 100
0 8738
1 100
0 9384
1 100
0 1075
1 100
0 4319
1 100
0 52585
1 100
0 13735
1 100
0 5953
1 100
0 6837
1 100
0 2012
1 100
0 7385
1 100
0 14100
1 100
0 3701
1 100
0 8011
1 100
0 4454
1 100
0 62854
1 100
0 22377
1 100
0 12786
1 100
0 10472
1 100
0 6011
1 100
0 5319
1 100
0 12425
1 61
2 39
1 61
0 27292
1 2
2 98
1 2
0 43407
1 100
0 39356
1 100
0 14496
1 100
0 22244
1 100
0 31169
1 100
0 7364
1 100
0 29590
2 100
0 35891
1 100
0 3437
1 100
0 19266
1 100
0 40248
1 100
0 3262
1 100
0 51523
1 100
0 9161
1 100
0 9267
1 100
0 12276
1 100
0 17319
1 100
0 9754
1 3
2 97
1 3
0 10993
1 100
0 10393
1 100
0 9046
1 100
0 6572
1 100
0 27033
1 100
0 4651
1 100
0 8511
1 100
0 37272
1 100
0 35910
1 100
0 121059
1 100
0 24689
2 100
0 30893
1 100
0 7376
1 100
0 10530
1 100
0 10360
1 61
2 39
1 61
0 4326
1 100
0 11067
1 100
0 2500
1 100
0 1843
1 100
0 8482
1 100
0 52458
1 100
0 809744
1 100
0 9619
1 100
0 25140
1 100
0 16774
1 100
0 4865
1 100
0 8478
1 100
0 37225
1 100
0 296641
1 100
0 7608
1 100
0 4068
1 100
0 13616
1 100
0 52408
1 100
0 9199
1 100
0 19773
1 100
0 3332
1 100
0 1916
1 100
0 940
1 100
0 27
1 94
2 6
1 94
0 447
1 100
0 363
1 22
2 78
1 22
0 938
1 23
2 77
1 23
0 216
1 100
0 1063
1 100
0 1142
1 100
0 959
1 100
0 239
1 100
0 56
2 100
0 794
1 100
0 1130
1 100
0 758
1 100
0 52
1 100
0 1474
1 17
2 83
1 17
0 1798
1 100
0 347
1 100
0 287
1 100
0 272
1 100
0 1082
1 100
0 69
1 100
0 1067
1 1
3 77
4 22
3 1
1 7
2 11
3 1
4 4
5 3
6 51
5 30
4 11
3 1
2 4
1 3
0 510
1 100
0 10
1 86
3 14
2 86
0 1424
1 2
2 98
1 2
0 13
2 100
0 2399
1 100
0 181
1 100
0 314
1 6
2 49
3 45
2 6
1 12
2 37
1 63
0 521
1 34
2 66
1 34
0 68
1 100
0 600
1 83
2 17
1 83
0 1553
1 13
3 40
4 14
5 2
6 2
7 4
8 25
7 13
5 40
4 14
3 2
2 2
1 4
0 31
1 3
2 1
3 96
2 3
1 1
0 382
1 100
0 877
1 100
0 115
1 100
0 19
2 3
3 88
5 9
3 3
2 88
0 1601
1 100
0 765
1 100
0 149
1 14
2 86
1 14
0 466
1 15
2 85
1 15
0 5540
1 100
0 865
1 100
0 1007
1 100
0 4
1 100
0 1284
1 100
0 20
2 100
0 218
2 100
0 227
1 100
0 177
1 29
2 17
3 54
2 29
1 17
0 194
1 100
0 55
1 100
0 1361
1 100
0 253
1 100
0 57
1 100
0 102
1 100
0 94
1 100
0 359
1 100
0 184
1 100
0 243
1 100
0 344
1 100
0 137
1 100
0 653
1 100
0 670
2 74
3 26
1 42
2 32
1 68
0 502
2 100
0 234
1 2
2 98
1 2
0 17
1 100
0 188
1 9
2 91
1 9
0 514
1 100
0 213
1 100
0 84
1 59
2 41
1 59
0 261
1 100
