values lengths
0 2755520
1 100
0 12818
1 100
0 16147
1 100
0 5668
1 100
0 7930
1 100
0 1736
1 100
0 19297
1 100
0 11778
1 100
0 3072
1 100
0 4244
1 100
0 24754
1 100
0 13704
1 100
0 3722
1 100
0 22160
1 100
0 28770
1 100
0 1382
1 100
0 10514
2 100
0 24864
1 100
0 47226
1 100
0 50521
2 100
0 27291
2 100
0 54276
1 100
0 178271
1 100
0 16268
1 100
0 77408
1 100
0 553
1 100
0 24797
1 100
0 73890
1 10
2 90
1 10
0 36271
1 100
0 95983
1 100
0 34499
1 100
0 51597
1 100
0 35264
1 100
0 1025
2 100
0 1670
1 22
2 78
1 22
0 712
1 100
0 44
1 99
2 1
1 99
0 298
1 100
0 839
1 100
0 37262
1 100
0 33989
1 100
0 104908
1 100
0 3570
1 100
0 52036
1 100
0 45830
1 100
0 76150
1 100
0 88449
1 100
0 42960
1 100
0 20580
1 1
2 1
3 98
2 1
1 1
0 43701
1 100
0 40640
1 100
0 59709
1 100
0 6302
1 100
0 45490
1 100
0 50493
1 100
0 5974
1 100
0 10305
2 100
0 141482
1 100
0 69073
1 100
0 15690
1 100
0 52371
1 100
0 53412
1 100
0 91469
1 100
0 31907
1 100
0 103297
1 100
0 65951
1 100
0 76850
2 100
0 3345
1 100
0 39934
1 100
0 106
2 100
0 2088
1 100
0 120151
1 100
0 2115
1 100
0 135668
1 100
0 18008
1 100
0 23194
1 100
0 73245
1 100
0 13495
1 100
0 7696
1 100
0 50622
1 100
0 72759
1 100
0 85104
1 100
0 12236
1 100
0 28096
2 100
0 22798
1 100
0 12952
1 100
0 40124
1 100
0 3444
1 100
0 32468
1 100
0 14077
1 100
0 49
1 100
0 25633
1 100
0 37357
1 100
0 26791
1 100
0 246973
1 100
0 28536
1 100
0 44417
1 100
0 30585
1 100
0 1286
1 100
0 3696
1 100
0 146120
1 100
0 32562
1 100
0 15300
1 100
0 13494
1 100
0 18514
1 100
0 29086
1 100
0 41907
1 100
0 17819
1 100
0 24999
1 100
0 4207
1 100
0 120662
1 100
0 14860
1 100
0 15689
1 100
0 82806
2 100
0 17742
1 100
0 5504
1 100
0 5600
1 100
0 14038
1 100
0 7365
1 100
0 1149
1 100
0 10457
1 100
0 6757
1 100
0 310
1 100
0 12982
1 100
0 10911
1 100
0 22229
1 100
0 6568
1 100
0 28423
1 5
2 95
1 5
0 3887
1 100
0 35014
1 100
0 3665
1 3
2 1
3 5
7 91
6 3
5 1
4 5
0 2636
1 100
0 3614
1 100
0 205
1 100
0 2086
1 100
0 4960
1 100
0 10472
1 100
0 396
1 100
0 1663
1 100
0 1595
1 100
0 16806
2 100
0 30074
1 100
0 8514
1 100
0 10955
1 100
0 10578
1 100
0 1880
1 100
0 9781
1 100
0 9089
2 100
0 6480
1 100
0 8399
1 100
0 911
1 100
0 1960
1 100
0 20510
