values lengths
0 2727885
1 100
0 34
1 100
0 39893
1 100
0 54022
1 100
0 1389
1 100
0 69054
1 100
0 8219
1 100
0 33006
1 100
0 44423
1 100
0 5544
1 100
0 19230
1 100
0 7888
1 100
0 109534
1 100
0 28034
1 100
0 15607
1 100
0 148492
1 100
0 21592
1 100
0 1439
1 100
0 8945
1 100
0 92391
1 100
0 27186
1 100
0 38910
1 100
0 69984
1 100
0 15538
1 100
0 27825
1 100
0 4506
1 100
0 1345
1 100
0 54402
1 100
0 11269
1 100
0 82640
1 86
2 14
1 86
0 1064
1 100
0 1830
1 100
0 435
1 100
0 574
1 100
0 61
1 100
0 426
1 77
2 23
1 49
2 28
1 22
2 50
1 50
0 111153
1 100
0 38126
1 100
0 5634
1 100
0 46505
1 100
0 10161
1 100
0 60360
1 100
0 90434
1 100
0 83180
1 100
0 25492
1 100
0 9931
1 100
0 78462
1 100
0 1228
1 100
0 6284
1 100
0 28748
1 100
0 51127
1 100
0 4974
1 100
0 46176
1 100
0 196824
1 100
0 79608
1 100
0 42257
1 100
0 48059
1 100
0 6904
1 100
0 7102
1 100
0 6889
1 100
0 1815
1 100
0 105032
1 100
0 86194
1 100
0 95671
1 100
0 97568
1 100
0 121242
1 100
0 49478
1 100
0 2581
1 100
0 41598
1 100
0 146938
1 100
0 15175
1 100
0 58973
1 100
0 72041
1 100
0 75334
1 100
0 136366
1 100
0 60439
1 100
0 35245
1 100
0 35142
1 100
0 31615
1 100
0 324247
1 100
0 879
1 92
2 8
1 92
0 1270
1 100
0 17715
1 100
0 69222
1 100
0 237732
1 100
0 950
1 100
0 8177
1 100
0 18759
1 100
0 8719
1 100
0 2271
1 100
0 33886
1 100
0 26162
1 100
0 19244
1 100
0 21111
1 100
0 26646
1 100
0 57682
1 6
2 94
1 6
0 23503
1 100
0 38933
1 100
0 11949
1 100
0 1762
1 3
2 97
1 3
0 4454
1 100
0 8026
1 100
0 8888
1 100
0 14267
1 100
0 29164
1 100
0 2507
1 100
0 9310
1 100
0 5610
1 100
0 10868
1 100
0 14253
1 100
0 19817
1 100
0 3407
1 100
0 23386
1 100
0 14946
1 100
0 29259
1 1
2 5
4 94
3 1
2 5
0 3578
1 100
0 109179
1 100
0 82029
1 100
0 3219
1 100
0 96688
2 100
0 104944
2 100
0 5931
1 100
0 30696
1 100
0 56990
1 100
0 15323
1 100
0 6123
1 100
0 86045
1 100
0 57019
1 100
0 76911
1 100
0 31362
1 100
0 55500
1 100
0 126344
1 100
0 35056
1 100
0 279390
1 100
0 128400
1 100
0 3703
2 100
0 69849
1 100
0 80662
1 100
0 93225
1 100
0 37942
1 100
0 142385
1 100
0 19740
1 100
0 1305494
1 100
0 82728
1 100
0 837
1 100
0 457
1 100
0 1093
1 100
0 1601
1 100
0 1288
1 100
0 172
1 100
0 167
1 100
0 1443
1 11
2 89
1 11
0 1215
1 13
2 87
1 13
0 965
1 100
0 237
1 100
0 55
1 100
0 577
1 100
0 151
1 100
0 938
1 100
0 475
1 100
0 498
1 100
0 3107
1 100
0 1017
1 100
0 2787
1 23
2 77
1 19
2 4
1 26
2 70
1 30
0 731
2 11
4 89
2 11
0 1488
1 100
0 1613
1 100
0 2148
1 9
2 91
1 9
0 528
1 100
0 210
1 100
0 1324
1 100
0 180
1 28
2 7
3 65
2 28
1 7
0 14
1 10
2 1
3 49
4 40
3 10
2 1
1 49
0 1175
1 100
0 15
1 100
0 134
1 100
0 23
1 92
2 8
1 92
0 2256
1 100
0 449
1 100
0 6317
2 2
3 23
4 75
2 2
1 23
0 1261
1 15
2 85
1 15
0 301
1 100
0 721
1 100
0 729
1 100
0 361
2 10
3 4
4 86
2 10
1 4
0 67
1 100
0 159
1 15
2 85
1 15
0 138
1 100
0 95
1 100
0 78
1 100
0 1119
1 1
2 85
3 14
2 1
1 2
3 83
2 17
0 537
1 2
2 98
1 2
0 610
1 3
2 97
1 3
0 149
1 64
2 36
1 64
0 1640
1 60
2 40
1 60
0 417
1 100
0 38
1 100
0 178
1 58
2 42
1 58
0 414
1 100
0 272
1 100
0 89
1 100
0 232
1 100
0 1038
1 13
2 87
1 13
0 320
1 1
2 99
1 1
0 257
1 29
2 71
1 29
0 273
1 100
0 99
1 96
2 4
1 96
0 413
1 100
0 917
1 100
0 240
1 100
0 291
1 100
0 131
1 1
2 99
1 1
0 43
1 66
2 34
1 66
0 3832
1 6
2 94
1 6
0 926
1 100
0 628
1 100
0 431
1 100
0 374
1 100
0 415
1 100
0 3137
1 100
0 102
1 100
0 125
1 93
2 7
1 93
0 190
1 46
2 45
3 9
2 6
3 40
2 45
1 15
0 260
1 100
0 536
1 100
0 548
1 100
0 49
1 83
2 17
1 83
0 151
1 100
0 197
1 39
2 17
3 44
2 8
3 31
2 17
1 52
0 25
1 100
0 220
1 74
2 26
1 74
0 339
2 20
3 4
4 10
6 23
7 43
5 20
4 4
3 10
1 23
0 529
1 18
2 22
3 18
4 42
3 18
2 22
1 18
0 181
1 3
2 10
3 2
4 1
5 6
6 78
5 3
4 10
3 2
2 1
1 6
0 69
1 100
0 4
1 100
0 80
1 100
0 76
1 70
2 2
3 3
4 25
3 4
4 13
5 30
6 23
5 2
4 3
3 17
4 12
3 13
2 30
1 3
2 12
3 30
2 58
1 4
2 8
1 47
2 17
3 12
4 16
3 7
4 12
5 26
6 10
5 17
4 1
5 11
4 23
3 12
2 3
3 23
2 28
1 49
0 19
1 81
2 9
3 10
2 70
3 1
4 10
3 9
2 6
3 9
