values lengths
0 2711043
1 100
0 14281
1 100
0 15033
1 100
0 20770
1 100
0 8049
1 100
0 831
1 100
0 29741
2 100
0 21712
1 100
0 1229
1 100
0 10853
1 100
0 12
1 100
0 31840
1 100
0 7635
1 100
0 2590
1 100
0 19387
1 100
0 16049
1 100
0 4134
1 100
0 11830
1 1
3 99
2 1
0 12535
1 100
0 11346
1 100
0 6892
1 100
0 52100
1 100
0 87024
1 100
0 6798
1 100
0 46936
1 100
0 15117
2 100
0 14985
1 100
0 3269
1 100
0 39795
1 100
0 54901
1 100
0 18513
1 100
0 43750
1 100
0 2358
1 100
0 90590
1 100
0 191
1 100
0 24441
1 100
0 4229
1 100
0 234
1 100
0 61777
1 100
0 6377
1 100
0 15770
1 100
0 142085
1 100
0 73041
1 100
0 6397
1 100
0 5890
1 100
0 107
1 100
0 5124
1 100
0 25214
1 100
0 96067
1 100
0 68398
1 100
0 37790
1 100
0 63786
1 100
0 147151
1 100
0 278
1 100
0 17706
1 100
0 31202
1 100
0 95320
1 100
0 12979
1 100
0 7522
1 100
0 87525
1 100
0 63773
1 100
0 123649
1 100
0 91093
1 100
0 34395
1 100
0 6205
1 100
0 73438
1 100
0 3277
1 100
0 16908
1 100
0 1632
1 100
0 81510
1 100
0 75243
1 100
0 3027
1 100
0 26885
1 100
0 69779
1 100
0 191908
1 100
0 8226
1 100
0 25313
2 100
0 40783
1 8
2 92
1 8
0 12679
1 100
0 365
1 100
0 108804
1 100
0 51395
1 100
0 5590
1 100
0 651
1 100
0 16731
1 100
0 7338
1 100
0 204139
1 100
0 94093
1 13
2 87
1 13
0 61823
1 100
0 29025
1 100
0 59357
1 100
0 7431
1 100
0 57496
1 100
0 14361
1 100
0 266430
1 100
0 47058
1 100
0 273
1 100
0 2477
1 100
0 16309
1 100
0 28222
1 100
0 28798
1 100
0 142215
1 100
0 13127
1 100
0 289
1 100
0 8937
1 100
0 9675
1 100
0 38219
1 100
0 21421
1 100
0 13784
1 100
0 73502
1 100
0 2212
1 100
0 2256
1 100
0 2781
2 100
0 48694
1 100
0 11601
1 1
2 99
1 1
0 13350
1 100
0 19058
1 100
0 43391
1 100
0 3233
1 100
0 1001
1 100
0 3290
1 100
0 507
1 1
2 99
1 1
0 11275
1 100
0 15341
1 100
0 10815
1 100
0 20257
1 100
0 5548
1 100
0 796
1 100
0 101
1 100
0 9751
1 1
3 3
4 8
5 88
4 1
2 3
1 8
0 1753
1 100
0 2603
1 100
0 3943
1 100
0 4362
1 100
0 10365
1 100
0 22340
1 7
2 93
1 7
0 11582
1 100
0 24641
1 100
0 13819
4 100
0 1321
1 100
0 748
1 100
0 4733
1 100
0 305
1 87
3 13
2 87
0 13507
1 100
0 21643
1 100
0 8904
2 100
0 1837
1 100
0 8359
1 100
0 14819
1 100
0 5154
1 100
0 1383
1 100
0 21102
1 1
2 5
4 94
3 1
2 5
0 48313
1 100
0 4137
1 100
0 450
1 100
0 5370
1 100
0 7566
1 100
0 7680
1 100
0 7410
1 100
0 2828
1 100
0 1745
1 100
0 2833
1 100
0 9087
1 100
0 44926
1 100
0 1939
1 100
0 5601
1 100
0 6803
1 100
0 36798
1 100
0 45569
1 100
0 49004
1 100
0 5234
2 100
0 8644
2 100
0 5252
1 100
0 3413
1 100
0 2555
1 100
0 14211
1 100
0 14752
1 100
0 1554
1 100
0 16593
1 100
0 37170
1 100
0 11102
1 100
0 1884
1 100
0 2386
1 100
0 12169
2 100
0 5913
1 100
0 11757
1 100
0 35077
1 100
0 2509
1 100
0 1506
1 100
0 6342
1 100
0 2201
1 100
0 30135
1 100
0 691
1 100
0 7944
1 100
0 31621
1 100
0 14779
1 100
0 19620
1 96
2 4
1 96
0 57724
1 100
0 1472
1 100
0 3141
1 100
0 27966
2 100
0 46861
1 100
0 3465
1 100
0 12781
1 100
0 13658
1 3
2 97
1 3
0 6285
1 100
0 2243
1 100
0 71765
1 100
0 4001
1 70
2 30
1 70
0 3425
1 100
0 23831
1 100
0 725
1 100
0 68819
1 78
2 22
1 78
0 12321
1 100
0 24512
1 100
0 43440
1 100
0 19216
1 100
0 1216
2 100
0 20630
2 2
3 98
1 2
0 8854
1 100
0 35502
1 100
0 8879
1 100
0 15104
1 22
2 78
1 22
0 2062
1 100
0 2891
1 100
0 4833
1 100
0 52845
1 100
0 15530
1 100
0 44671
1 100
0 60066
1 100
0 67203
2 100
0 34675
2 100
0 13692
1 100
0 2204
1 100
0 20555
1 100
0 13636
1 100
0 740
1 100
0 8181
1 100
0 53316
1 100
0 8162
1 100
0 9422
1 100
0 6721
1 100
0 13146
1 100
0 1280
1 100
0 12677
1 100
0 11479
1 100
0 20081
1 100
0 1167
1 100
0 27756
1 100
0 99652
1 100
0 33166
1 100
0 3281
1 100
0 2605
1 100
0 4485
1 100
0 39963
1 100
0 2786
1 100
0 1823
1 100
0 6969
1 100
0 69471
1 100
0 1115
1 100
0 777866
1 100
0 5386
1 100
0 63458
1 100
0 6755
1 2
2 1
3 97
2 2
1 1
0 41220
1 100
0 15854
1 100
0 5026
1 100
0 139463
1 100
0 120582
1 100
0 23745
2 100
0 22370
1 100
0 5311
1 100
0 14655
1 100
0 11600
1 100
0 19693
1 100
0 4981
1 100
0 12186
1 100
0 5258
1 100
0 14486
1 100
0 871
1 100
0 1033
2 100
0 1454
2 100
0 1277
1 60
2 40
1 60
0 126
1 100
0 227
1 100
0 1140
1 100
0 1466
1 100
0 1664
1 100
0 835
1 100
0 616
1 100
0 566
1 33
2 67
1 33
0 341
1 100
0 575
1 100
0 976
1 100
0 1475
1 1
2 3
3 96
2 1
1 3
0 195
1 100
0 126
1 100
0 684
1 100
0 228
1 100
0 1081
1 100
0 34
1 100
0 1010
1 100
0 4
1 26
2 74
1 26
0 592
1 100
0 455
1 100
0 4394
1 100
0 406
2 100
0 5
1 100
0 803
1 100
0 625
2 100
0 989
1 100
0 108
2 100
0 642
1 100
0 304
1 100
0 2
1 100
0 372
1 93
2 7
1 93
0 2263
1 100
0 938
1 1
3 99
2 1
0 19
1 100
0 1246
1 100
0 4078
1 100
0 208
1 100
0 2512
1 100
0 146
1 100
0 411
1 48
2 1
3 51
2 48
1 1
0 108
1 100
0 154
1 4
2 7
3 89
2 4
1 7
0 331
1 4
2 37
4 59
3 4
2 37
1 100
0 1324
1 100
0 361
1 100
0 387
1 6
2 94
1 6
0 1585
1 100
0 1258
1 100
0 191
2 67
3 33
1 67
0 1102
1 74
2 21
3 5
2 64
3 10
2 21
1 69
0 776
1 100
0 258
1 18
2 82
1 18
0 150
1 100
0 60
2 38
3 62
1 38
0 689
1 100
0 450
1 100
0 522
2 100
0 580
1 100
0 976
1 100
0 298
1 100
0 3311
1 100
0 2366
1 100
0 541
1 100
0 2282
1 100
0 853
1 100
0 443
1 100
0 178
1 100
0 239
1 3
2 97
1 3
0 82
1 10
2 90
1 10
0 21
2 42
3 8
4 1
5 49
3 8
4 34
3 8
2 1
1 57
0 1223
1 100
0 331
2 100
0 14
1 67
2 33
1 67
0 72
2 100
0 76
1 100
0 120
1 100
0 18
1 100
0 293
1 100
0 288
1 6
2 57
3 17
4 20
3 6
2 3
3 54
2 17
1 29
0 62
1 100
0 277
1 41
2 4
3 55
2 5
3 36
2 4
1 60
0 37
1 100
0 62
2 24
4 1
6 8
7 3
8 33
9 10
10 1
11 10
13 10
11 24
9 1
7 8
6 3
5 33
4 10
3 1
2 10
0 20
2 8
3 9
4 83
2 8
1 9
0 152
1 100
0 30
1 82
2 18
1 68
2 14
1 13
2 5
3 45
6 23
5 13
6 14
5 5
4 19
5 26
2 25
3 11
2 38
1 4
3 34
4 13
3 15
4 18
5 3
6 17
4 11
5 4
6 10
7 9
6 28
5 15
6 3
5 3
4 14
6 14
5 4
4 10
3 8
4 40
5 4
4 20
2 20
3 16
2 13
3 12
4 15
3 44
2 29
1 12
0 11
1 11
2 6
3 39
5 39
6 5
5 1
7 10
6 6
5 2
6 9
7 28
5 39
4 6
2 18
1 9
0 608
1 100
0 249
1 100
0 56
1 100
0 14
1 32
2 68
1 24
2 8
1 92
0 169
1 44
2 53
3 3
2 44
1 53
0 12
1 41
3 23
4 36
3 31
4 9
5 1
3 23
2 67
1 9
0 177
1 100
0 3
1 100
0 13
1 68
2 32
1 13
2 44
4 9
5 2
4 26
5 19
4 44
2 8
3 1
2 1
3 13
4 2
5 12
4 71
3 2
2 13
1 2
0 167
1 5
2 95
1 5
0 65
1 100
0 101
1 17
2 6
3 36
4 41
3 17
2 6
1 36
0 61
1 100
0 514
1 82
3 18
2 67
3 15
1 85
0 1995
1 2
2 98
1 2
0 62
1 100
0 851
1 43
3 6
6 13
7 38
6 43
4 6
1 13
0 92
1 100
0 131
1 54
2 46
1 10
2 2
3 30
4 12
3 50
5 6
4 2
3 30
2 62
0 728
1 100
0 1132
1 100
0 2007
1 100
0 1477
1 100
0 275
1 100
0 3120
1 100
0 200
1 1
2 99
1 1
0 281
1 100
0 238
1 100
0 212
1 6
2 94
1 6
0 739
1 100
0 492
1 57
3 43
2 57
0 47
1 100
0 51
1 4
2 96
1 4
0 500
1 18
2 2
3 8
4 72
3 18
2 2
1 8
0 323
1 100
0 26
1 78
2 22
1 78
0 23
1 25
2 1
4 1
5 4
6 69
5 25
4 1
2 1
1 4
0 54
1 57
2 21
3 22
2 57
1 21
0 100
1 100
0 301
2 80
3 20
1 78
2 2
1 6
2 92
1 8
0 53
1 19
2 38
3 18
4 14
5 11
4 19
3 38
2 18
1 14
0 76
1 10
2 90
1 10
0 261
1 17
3 83
2 17
0 18
2 18
3 3
5 4
6 47
7 3
8 4
9 21
7 18
6 3
4 4
3 8
4 23
5 16
4 3
3 4
2 54
1 23
0 1
1 10
2 90
1 10
0 112
1 63
3 13
4 22
5 2
4 10
5 4
6 2
7 5
8 42
6 11
7 2
6 22
5 12
4 4
3 2
2 5
1 53
0 38
1 100
0 17
1 39
2 61
1 39
0 85
1 100
0 1224
1 100
0 363
1 10
2 1
3 56
4 11
5 3
6 19
5 11
4 56
3 11
2 3
1 29
0 51
1 25
2 21
3 54
2 16
3 9
2 21
1 6
2 21
3 13
4 30
3 36
2 21
1 13
0 21
1 6
2 18
3 76
2 6
1 18
0 114
1 100
0 1153
1 9
3 91
2 9
0 526
1 88
2 12
1 88
0 14
1 81
2 19
1 81
0 72
1 100
0 428
1 60
2 40
1 37
2 3
3 1
4 2
5 4
6 3
8 1
11 9
10 77
9 3
8 1
7 2
6 4
5 3
3 1
0 21
1 16
2 28
3 56
2 10
3 5
4 17
5 12
4 6
5 60
4 5
3 1
2 16
1 18
0 21
2 100
0 314
1 100
0 141
2 100
0 26
1 17
2 83
1 17
0 157
1 1
3 2
5 1
7 96
6 1
4 2
2 1
0 665
1 100
0 354
2 1
4 2
5 97
3 1
1 2
0 56
1 60
2 26
5 3
7 7
8 1
9 2
10 1
9 27
10 33
9 26
6 3
4 7
3 1
2 2
1 12
2 16
1 25
2 28
3 31
2 41
1 28
0 136
1 100
0 26
1 1
2 15
3 2
5 3
6 1
9 2
11 1
13 1
15 1
16 1
18 1
19 1
20 1
22 69
21 1
20 15
19 2
17 3
16 1
13 2
11 1
9 1
7 1
6 1
4 1
3 1
2 1
0 529
1 13
2 2
3 2
4 54
5 2
6 3
7 8
8 13
10 3
9 2
13 11
12 2
11 2
10 54
9 2
8 3
7 8
6 13
4 5
0 19
2 100
0 288
3 1
4 1
6 1
8 2
9 84
10 8
11 3
8 1
7 1
5 1
3 2
2 51
3 33
2 8
1 59
0 407
2 3
3 97
1 3
0 43
1 100
