values lengths
0 2709526
1 100
0 31062
1 100
0 135
1 100
0 2011
1 1
2 99
1 1
0 4274
1 100
0 16550
1 100
0 8743
1 100
0 5342
1 100
0 3394
1 100
0 14679
1 2
2 98
1 2
0 2154
1 100
0 20612
1 100
0 6747
1 100
0 2082
1 100
0 841
1 100
0 4959
1 100
0 33476
1 100
0 13156
1 100
0 1362
1 100
0 6708
1 100
0 5530
1 100
0 5658
1 100
0 2750
1 100
0 1835
1 100
0 2482
1 100
0 704
1 100
0 2985
1 100
0 2121
1 100
0 12344
1 100
0 4374
1 100
0 20916
1 100
0 10646
1 100
0 2384
1 100
0 33090
1 100
0 6517
1 100
0 18845
1 100
0 40095
1 100
0 9891
2 100
0 13860
2 100
0 45019
1 100
0 41600
1 100
0 340
1 100
0 58997
1 100
0 80847
1 100
0 118
1 100
0 2178
1 100
0 12830
1 100
0 40305
2 100
0 59817
1 100
0 19263
1 100
0 14935
1 100
0 63722
1 100
0 44546
1 100
0 55504
1 100
0 439
1 100
0 126734
1 100
0 1279
1 100
0 14913
1 100
0 2920
2 100
0 1132
1 100
0 1288
2 67
3 33
1 67
0 191
2 100
0 8234
1 100
0 90691
1 100
0 9894
1 100
0 80163
1 100
0 43424
1 100
0 38847
1 100
0 81387
1 100
0 81350
1 100
0 40321
1 100
0 32064
1 100
0 17029
1 100
0 23522
1 100
0 220
1 100
0 111310
1 100
0 546
1 100
0 31831
1 100
0 11192
1 100
0 58215
1 100
0 34873
1 100
0 28262
1 100
0 8531
1 100
0 45425
1 100
0 19976
1 100
0 63570
1 100
0 11265
1 100
0 39702
1 100
0 57617
1 100
0 101
1 100
0 21620
1 100
0 100711
1 100
0 35433
1 100
0 32125
1 100
0 30291
1 100
0 85942
1 100
0 102568
1 100
0 54184
1 100
0 8846
1 100
0 12934
1 100
0 42828
1 100
0 237420
1 100
0 10678
1 100
0 18516
1 100
0 1895
1 100
0 9233
1 100
0 22755
1 100
0 55043
1 100
0 1009
1 100
0 6223
1 100
0 38353
1 100
0 40276
1 100
0 38253
1 100
0 12566
1 100
0 9371
1 100
0 81701
1 100
0 27310
1 100
0 45462
1 100
0 4742
1 100
0 50615
1 100
0 24354
1 100
0 2986
1 100
0 31439
1 100
0 94967
1 100
0 166264
1 100
0 12843
1 4
2 96
1 4
0 33449
2 100
0 554
1 100
0 552
2 100
0 801
1 100
0 10241
1 100
0 50350
1 100
0 34389
1 100
0 6293
1 100
0 5682
1 100
0 108323
1 100
0 2611
1 100
0 16366
1 100
0 13715
1 100
0 66775
1 100
0 27507
1 100
0 9802
1 100
0 8651
1 35
2 65
1 35
0 4302
1 100
0 7067
1 100
0 3746
1 100
0 1714
1 100
0 1438
1 100
0 281
1 100
0 10451
1 100
0 26950
1 100
0 7439
1 100
0 28609
1 100
0 4172
1 100
0 12768
1 100
0 16317
1 19
2 81
1 19
0 3187
1 100
0 9549
1 100
0 48309
1 100
0 17048
1 100
0 6504
1 100
0 17720
1 100
0 5067
1 100
0 7789
2 100
0 7154
1 100
0 15076
1 100
0 1739
1 100
0 1811
1 100
0 5595
1 100
0 33783
1 3
2 97
1 3
0 5321
1 100
0 8543
1 100
0 13015
1 100
0 9615
1 100
0 6342
1 100
0 11716
2 4
3 96
1 4
0 2781
1 100
