values lengths
0 2762930
1 100
0 41484
1 1
3 99
2 1
0 45616
1 100
0 5920
1 100
0 2427
1 100
0 109259
1 100
0 24645
1 100
0 124288
1 100
0 1448
2 100
0 67485
1 100
0 15115
1 100
0 36953
1 100
0 899
1 100
0 80112
1 100
0 34900
1 100
0 9634
1 100
0 44660
1 100
0 54459
1 100
0 20001
1 100
0 110410
1 100
0 60991
1 100
0 16823
1 100
0 20429
1 100
0 80223
1 100
0 846
1 100
0 393
1 100
0 32
1 100
0 1250
1 100
0 459
1 59
2 41
1 59
0 641
1 100
0 562
1 100
0 719
1 100
0 46184
1 100
0 38530
1 100
0 30652
1 100
0 14716
1 100
0 118477
1 100
0 34723
1 100
0 28420
1 100
0 260430
1 100
0 51215
1 100
0 28277
1 100
0 217986
1 100
0 72898
2 100
0 5293
1 100
0 44158
1 100
0 328775
1 100
0 93983
1 100
0 50085
1 100
0 51276
1 100
0 4125
1 100
0 18810
1 100
0 89184
1 100
0 153942
1 100
0 18683
1 100
0 53580
1 100
0 57546
1 100
0 34293
1 100
0 252039
1 100
0 483306
1 5
2 95
1 5
0 87019
1 100
0 26587
1 100
0 15074
1 100
0 66516
1 100
0 12225
1 100
0 11482
1 100
0 31659
1 100
0 97420
1 100
0 606
1 100
0 2868
1 100
0 9625
1 100
0 25893
1 100
0 266270
1 100
0 2927
1 100
0 12663
2 100
0 11782
1 100
0 9215
1 100
0 1698
1 100
0 10623
1 100
0 10583
1 100
0 1213
1 100
0 7052
1 100
0 2191
1 100
0 13032
1 100
0 19942
1 100
0 12312
1 100
0 27677
2 100
0 10982
1 100
0 15848
1 1
2 5
4 94
3 1
2 5
0 6358
1 100
0 144641
1 100
0 30449
1 100
0 13238
2 100
0 173925
1 14
2 86
1 14
0 31109
1 100
0 21854
1 100
0 59850
1 100
0 55905
1 100
0 53619
1 100
0 64815
1 100
0 12125
1 100
0 6949
1 100
0 18175
1 100
0 61759
1 100
0 11212
1 100
0 107879
1 100
0 130313
1 100
0 65432
1 100
0 22724
1 100
0 30626
1 100
0 12475
1 100
0 50262
1 100
0 61869
1 100
0 41492
1 100
0 3084
1 100
0 73385
1 100
0 43019
1 100
0 13091
1 100
0 9369
1 100
0 6239
1 100
0 65861
1 100
0 6094
1 100
0 108195
1 100
0 35461
1 100
0 98497
1 100
0 84466
1 100
0 84716
1 100
0 798703
1 100
0 7988
1 100
0 59
2 100
0 18695
1 100
0 12296
1 100
0 21198
1 100
0 15076
1 100
0 282385
1 100
0 2917
1 100
0 26835
1 100
0 100749
1 100
0 16712
1 100
0 3968
1 100
0 323
1 87
2 6
3 7
2 87
1 6
0 218
1 100
0 370
1 100
0 640
1 1
2 99
1 1
0 32
1 100
0 1472
1 100
0 597
1 100
0 29
1 30
2 70
1 30
0 584
1 100
0 502
1 100
0 8
1 100
0 628
1 100
0 341
1 100
0 511
1 100
0 86
1 100
0 995
1 100
0 636
1 100
0 1710
1 4
2 10
3 86
2 4
1 10
0 361
1 100
0 1320
1 100
0 993
1 100
0 1358
1 2
2 98
1 2
0 1093
1 100
0 199
1 100
0 127
1 100
0 105
1 100
0 2
1 100
0 38
1 100
0 1371
1 100
0 3212
1 100
0 17
1 8
2 1
3 2
4 1
5 88
4 8
3 1
2 2
1 1
0 2122
1 100
0 86
1 62
2 38
1 62
0 678
1 1
3 76
4 23
3 1
1 76
0 15
1 4
2 96
1 4
0 89
1 100
0 399
1 100
0 56
1 100
0 871
1 79
2 21
1 79
0 1755
1 1
2 99
1 1
0 397
1 100
0 948
1 100
0 1724
1 100
0 6058
1 100
0 917
1 100
0 160
1 100
0 18
1 100
0 385
1 100
0 620
1 100
0 1363
1 84
2 16
1 55
2 27
3 2
2 71
1 27
0 95
1 100
0 1657
1 6
2 94
1 6
0 312
1 24
2 76
1 24
0 980
1 100
0 551
1 6
2 94
1 6
0 955
1 100
0 992
1 100
0 550
1 74
2 3
4 23
3 74
2 3
0 771
1 100
0 405
1 100
0 512
1 10
2 90
1 10
0 1591
1 71
2 29
1 71
0 134
1 100
0 95
1 28
2 16
3 56
2 28
1 16
0 3860
1 100
0 212
1 100
0 404
1 100
0 42
1 94
2 6
1 31
2 63
1 37
0 275
1 100
0 284
1 100
0 517
1 17
2 83
1 17
0 1178
1 48
2 52
1 48
0 260
1 100
0 1614
1 100
0 646
1 6
2 94
1 6
0 135
1 98
2 2
1 98
0 97
1 83
2 17
1 65
3 1
4 17
3 50
4 32
3 1
2 67
1 32
0 340
1 100
0 137
1 100
0 109
1 86
2 14
1 86
0 206
1 100
0 196
1 100
0 51
1 23
2 13
3 64
2 23
1 13
0 38
1 7
2 93
1 7
0 2
1 100
0 469
1 3
2 4
3 93
2 3
1 4
0 85
1 100
0 447
1 15
2 34
3 51
2 15
1 34
0 532
1 19
2 81
1 19
0 81
1 100
0 142
1 12
2 1
4 1
5 50
6 8
7 18
8 10
7 12
6 1
4 1
3 50
2 8
1 18
0 4
1 3
2 2
3 9
4 8
5 12
6 1
7 28
8 8
9 29
8 3
7 11
6 8
5 12
4 1
3 28
2 8
1 34
0 185
1 100
0 217
1 2
2 14
3 23
4 16
5 2
6 12
7 5
8 26
7 2
6 14
5 23
4 16
3 2
2 12
1 5
0 3
1 16
2 33
3 11
4 30
5 1
6 1
7 8
6 16
5 13
6 4
7 3
8 13
7 10
8 16
9 15
8 1
7 1
6 1
7 36
6 4
5 3
4 23
3 1
2 15
1 18
0 52
1 56
2 30
3 9
4 5
3 39
4 4
5 13
4 6
5 10
6 8
7 2
8 4
7 9
6 21
7 18
8 8
9 1
8 19
7 10
6 8
5 36
4 18
3 5
2 3
1 40
0 21
1 100
0 27
1 100
0 229
1 100
0 383
1 100
0 543
1 100
0 142
1 100
0 354
1 6
2 61
3 21
4 14
5 4
4 61
3 21
2 12
1 2
0 153
1 100
0 105
1 100
0 344
1 45
2 55
1 45
0 120
1 100
0 266
1 19
2 81
1 19
0 208
1 100
0 465
1 10
2 90
1 10
0 907
1 100
0 300
1 100
0 379
1 28
2 72
1 28
0 270
1 100
0 237
1 25
2 1
3 7
4 5
5 6
6 56
5 25
4 1
3 7
2 5
1 6
0 171
1 100
0 222
1 30
2 37
3 33
2 15
3 15
2 37
1 20
2 28
1 72
0 1210
1 100
0 40
1 100
0 216
1 21
2 79
1 21
0 38
1 11
2 34
3 14
4 41
3 11
2 34
1 14
0 410
1 100
0 737
1 100
0 2546
1 100
0 4336
1 100
0 547
1 100
0 675
1 100
0 252
1 3
2 23
3 74
2 3
1 23
0 129
1 48
2 10
3 42
2 48
1 10
0 230
1 100
0 58
1 100
0 334
1 100
0 104
1 100
0 133
1 100
0 162
1 38
2 62
1 38
0 145
1 100
0 8
1 100
0 407
1 100
0 99
1 100
0 11
1 100
0 6
1 100
0 192
1 23
2 11
3 23
4 43
3 10
4 13
3 11
2 23
1 1
2 52
1 48
0 168
1 100
0 20
1 2
2 2
3 96
2 2
1 2
0 5
1 3
2 97
1 3
0 32
1 8
2 92
1 8
0 46
1 100
0 759
1 100
0 55
1 100
0 359
1 100
0 63
1 4
2 96
1 4
0 251
1 37
2 1
3 9
4 6
5 5
6 42
5 37
4 1
3 9
2 6
1 3
2 2
1 98
0 31
1 100
0 62
1 2
2 1
3 97
2 2
1 1
0 75
1 100
0 64
1 100
0 1767
1 8
2 92
1 8
0 104
1 100
0 18
1 12
2 48
3 40
2 12
1 36
2 12
1 88
0 68
1 100
0 304
1 7
2 89
3 4
2 7
1 89
0 25
1 3
2 43
3 57
2 43
1 54
0 292
1 2
2 98
1 2
0 962
1 100
0 540
2 100
0 42
1 100
0 499
1 35
2 65
1 35
0 319
1 100
0 603
1 100
0 39
1 1
2 99
1 1
0 557
1 100
0 316
1 88
2 12
1 88
0 120
1 2
3 96
4 2
3 2
1 7
2 89
1 11
0 144
1 5
2 95
1 5
0 367
1 34
2 66
1 34
0 100
1 100
0 39
1 100
0 456
3 2
4 1
5 97
2 2
1 1
0 571
2 2
3 98
1 2
0 514
1 1
2 3
3 2
4 3
5 1
6 1
7 1
8 1
9 2
10 1
11 1
12 1
13 82
12 1
11 3
10 2
9 3
8 1
7 1
6 1
5 1
4 2
3 1
2 1
1 1
0 110
1 100
0 342
2 100
0 34
1 100
0 334
1 100
0 2247
1 100
0 2525
1 100
0 185
1 100
0 72
1 62
2 38
1 62
0 763
1 100
0 57
1 100
0 28
1 100
0 143
1 100
0 45
1 100
0 261
1 100
0 898
1 31
2 69
1 31
0 82
1 100
0 75
1 5
2 95
1 5
0 686
1 100
0 396
1 100
0 199
1 100
0 878
1 2
2 98
1 2
0 568
1 100
0 1113
1 100
0 715
1 100
0 1165
1 100
0 69
1 100
0 471
1 100
0 65
1 100
0 809
1 100
0 98
1 100
0 4047
1 100
0 1005
1 100
0 2842
1 100
0 5009
1 100
0 317
1 100
0 6629
1 100
0 1159
1 80
2 20
1 80
0 1069
1 100
0 174
1 88
2 12
1 88
0 1224
1 1
2 99
1 1
0 32
1 100
0 6
1 100
0 115
1 100
0 436
1 100
0 2139
2 100
0 984
3 1
4 99
1 1
0 3597
1 100
0 5281
1 100
0 1113
1 100
0 10774
1 100
0 533794
1 100
0 3127
1 100
0 2837
1 100
0 169
1 100
0 1085
2 100
0 85
1 100
0 111
1 100
0 1009
1 100
0 336
1 100
0 112
1 66
2 1
3 14
4 19
3 66
2 1
1 14
0 96
4 3
6 5
7 62
8 30
4 3
2 5
1 1
2 61
1 39
0 60
1 3
2 48
3 10
4 39
3 3
2 14
3 34
2 10
1 56
0 57
1 1
2 1
4 4
5 49
6 45
5 1
4 1
2 4
1 49
0 96
1 1
2 99
1 1
0 5
1 98
3 1
4 1
3 18
4 80
2 1
1 19
0 7
1 67
2 33
1 67
0 24
1 60
2 40
1 60
0 2
1 11
2 77
3 12
2 11
1 77
0 173
1 100
0 40
1 18
2 82
1 18
0 266
1 100
0 70
1 10
2 6
3 30
5 1
6 53
5 10
4 6
3 8
4 9
5 8
6 5
4 1
3 16
4 8
5 5
8 15
9 6
10 27
9 9
8 8
7 12
8 9
9 1
8 8
7 5
4 15
3 6
2 10
3 47
4 8
3 45
2 46
1 1
0 64
1 42
2 58
1 42
0 51
1 1
2 1
3 78
4 2
6 15
7 3
6 1
5 1
4 4
5 70
6 4
5 2
3 15
2 9
1 70
0 78
1 1
2 23
3 76
2 1
1 23
0 27
1 72
2 28
1 53
2 2
3 1
4 16
3 81
2 2
1 1
0 57
1 100
0 48
1 100
0 156
1 100
0 114
1 30
2 68
3 2
2 30
1 68
0 156
1 33
2 1
3 1
5 1
6 1
8 1
10 11
11 51
10 33
9 1
8 1
6 1
5 1
3 1
1 11
0 291
1 100
0 505
1 100
0 399975
1 1
2 33
3 2
4 4
5 11
6 4
8 6
9 34
10 2
11 3
10 34
9 2
8 9
9 6
8 4
6 6
5 34
4 2
3 4
2 39
1 5
0 84
3 100
0 128
1 2
2 98
1 2
0 39
1 100
0 187
1 100
0 35
2 100
0 22
1 24
2 6
3 1
4 1
5 68
4 6
5 18
4 5
5 1
4 1
3 1
2 25
3 49
2 23
1 28
0 15
1 16
2 84
1 16
0 51
1 100
0 17
1 24
